N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
620,SNLS 05D4gw,SN*,22 14 47.356,-17 31 54.84,,,,,23.73,SNIa,8,0
621,SNLS 04D4bq,SN*,22 14 49.424,-17 49 39.34,,,,,23.79,SNIa,18,2
622,SNLS 05D4cw,SN*,22 14 50.080,-17 44 19.56,,,,,19.76,SNIa,13,0
623,SNLS 03D4dy,SN*,22 14 50.526,-17 57 23.32,,,,,,SNIa,15,1
624,SNLS 05D4bj,SN*,22 14 59.664,-18 08 00.26,,,,,22.67,SNIa,9,0
625,SNLS 04D4im,SN*,22 15 00.846,-17 23 45.75,,,,,20.48,SNIa,8,1
626,SN 2007qf,SN*,22 15 02.880,-00 20 30.23,,,,,,SNIa,14,1
627,SNLS 06D4bw,SN*,22 15 03.723,-17 53 00.43,,,,,22.61,SNIa,8,0
628,SNLS 04D4bk,SN*,22 15 07.704,-18 03 36.99,,,,,26.49,SNIa,13,1
629,SNLS 04D4in,SN*,22 15 08.574,-17 15 39.70,,,,,22.68,SNIa,11,1
